Subzona,precios,estrato,area,alcobas,baños,parqueadero,Long_com_corr,parques,vias,remocion_masa,grandes_superficies,colegios,hospitales
Rosales,16.36483292,5.921511628,177.3156977,2.672965116,3.776162791,2.981105,15.76235525,530.2870534,114.399907,210.1712436,0,0,0
Chico ,13.939057,5.90521327,128.0438389,2.225118483,3.104660348,2.152449,123.3245783,524.9399477,234.4950109,540.2729087,17,0,0
Bosque Medina,10.75119373,4.699140401,151.226361,2.532951289,3.037249284,2.467049,25.52355871,688.1255693,132.7183853,411.7655625,1,0,0
Multicentro,10.36517138,5.647235427,94.07072805,2.086314736,2.625469102,1.785589,98.45637644,554.4468736,234.8845781,610.9786273,10,0,0
La Carolina,10.05065799,5.390084191,114.0548176,2.179607109,2.956033676,1.985033,27.90472933,630.0370935,130.9544356,335.5589661,0,1,0
Pablo VI,9.588878619,4.630769231,94.82230769,2.476923077,2.607692308,1.446154,35.84246316,1617.64839,179.1380573,1599.640396,7,3,1
Centro,9.504144262,3.195473251,63.38261317,1.74382716,1.799382716,0.9876543,141.0559204,485.0811733,252.8616458,1570.788568,128,24,9
Colinas de Suba,9.342162761,5.639468691,212.2104364,3.049335863,3.848197343,3.13852,5.711240494,1424.357194,88.11006147,362.5459732,1,0,0
Chapinero,8.681093499,3.73826458,74.1257468,1.773826458,1.960170697,1.251778,88.4717215,968.0194243,192.6243189,541.9195105,15,7,2
Córdoba,8.602315636,4.909671533,84.03713504,2.155109489,2.302919708,1.65511,56.86618146,926.3424709,205.8404164,724.2346704,9,2,0
Teusaquillo,8.031766957,3.771929825,66.11789474,1.768421053,2.143859649,1.129825,231.0371987,270.7976721,281.0056593,771.0420694,14,6,2
Los Andes,7.723087017,3.80866426,98.61371841,2.588447653,2.527075812,1.310469,123.8335252,1518.114478,229.0316609,1358.048242,11,37,6
Cedritos,7.679327133,4.261869436,78.57418398,2.115232443,2.360534125,1.650099,49.43100693,658.1001838,204.5262269,553.1533249,22,1,0
Colina camp.,7.233064454,4.272861357,98.85899705,2.657817109,2.390855457,1.663717,49.64343399,792.0202854,180.0543419,500.2616629,6,4,0
Mazuren,6.785028287,3.874432678,97.01875946,2.67473525,2.531013616,1.506808,21.91955347,513.6861023,105.9325116,1325.426236,9,5,0
Atabanza,6.328126732,3.037267081,64.97049689,2.388198758,1.869565217,1.055901,103.81247,681.9037344,181.8733716,311.0582935,3,2,1
Modelia,5.947776967,3.562691131,74.03547401,2.828746177,2.067278287,1.070336,46.03566127,727.235487,195.7062102,851.9749168,6,2,0
Min. Dios,5.748105479,3.375,53.46145833,2.130208333,1.614583333,0.921875,96.94841529,678.0267526,238.0462812,604.1804955,1,16,2
Maranta,5.676625987,3.47553816,78.06702544,2.818003914,2.078277886,1.123924,55.72366707,482.9647387,164.6686633,1675.18426,12,22,8
C/marca,5.608747341,3.048192771,68.55903614,2.78313253,1.963855422,1,91.3774893,497.1985577,231.2431017,1298.549149,67,18,4
Campiña,4.980960956,3.115288221,70.42982456,2.625313283,1.967418546,0.9942707,78.47779116,533.0390767,191.8211179,1356.292041,15,24,4
Américas ,4.961391229,3.10626186,68.39867173,2.823529412,2.009487666,0.9644099,76.04465731,727.9144899,225.925735,889.5058082,4,10,3
Bochica,4.948220813,3.109797297,71.27010135,2.842905405,2.037162162,1.036564,78.85441683,720.9903485,194.7255828,2148.244132,6,28,9
Kennedy,4.907356483,3.575,66.23916667,2.933333333,1.766666667,0.8485833,111.4628841,947.3349903,263.153706,1786.839488,8,40,10
Prim. Mayo,4.882919593,2.92,61.61066667,2.346666667,1.8,0.7199467,134.0477013,693.2639019,283.4076857,1019.906113,12,31,4
Tibabuyes,4.368835142,2.469135802,61.3617284,2.691358025,1.879012346,0.6780297,86.53926848,754.3637606,211.0891479,1062.693876,3,14,4
Auto Sur,4.191937132,2.804878049,61.67479675,2.739837398,1.837398374,0.8698537,87.63491867,1104.309322,263.7631516,2088.795281,7,65,13
Central ab.,4.187017215,2.924205379,65.52347188,2.777506112,1.894865526,0.9208162,115.6321445,992.8539595,257.3546709,2057.079128,10,49,8
Fontibón,3.690468221,2.702702703,59.58558559,2.585585586,1.576576577,0.2850991,43.75878578,408.1178224,130.437561,1890.801007,6,18,6
Tunjuelito,3.19988438,3,41.36842105,2.342105263,1.026315789,0.2894737,50.81593394,264.8066352,227.1316965,1528.582827,1,34,9
20 de julio,3.095692653,2.646341463,50.7,2.37804878,1.329268293,0.3260244,58.30427511,720.6963455,243.2384194,5181.662764,10,129,29
Ciudad Verde,2.202857248,3,55.62818428,2.79403794,1.094850949,0.3090515,25.54158992,179.9451287,80.74084206,3603.532163,5,29,10
